Disaster,Location,Severity,People_Affected,Ambulance_Needed,Resources_Needed,Response_Time,Priority
Earthquake,Islamabad,Low,1556,3,16,217,Low
Flood,Faisalabad,Medium,8913,19,95,232,Medium
Landslide,Faisalabad,Low,3929,7,64,226,Low
Cyclone,Multan,Low,2024,4,46,244,Low
Cyclone,Rawalpindi,High,7584,18,77,216,High
Fire,Karachi,Medium,5027,10,85,216,Medium
Earthquake,Islamabad,Medium,2465,5,59,228,Medium
Earthquake,Rawalpindi,Medium,7686,19,76,224,Medium
Drought,Sialkot,Low,522,4,10,246,Low
Flood,Sukkur,Medium,9314,23,143,230,Medium
Flood,Peshawar,Medium,6861,16,106,215,Medium
Earthquake,Rawalpindi,Medium,6924,16,108,221,Medium
Cyclone,Lahore,High,18460,36,224,209,High
Cyclone,Quetta,Medium,8783,20,106,229,Medium
Flood,Multan,Low,1148,7,43,247,Low
Cyclone,Sukkur,High,12926,28,164,181,High
Drought,Gujranwala,Medium,4078,9,53,230,Medium
Cyclone,Sukkur,Medium,4277,10,83,207,Medium
Heatwave,Islamabad,High,6862,14,110,196,High
Landslide,Sukkur,Medium,5511,12,84,204,Medium
Flood,Sukkur,Low,697,3,27,234,Low
Fire,Lahore,Low,3734,9,60,250,Low
Drought,Lahore,Medium,6179,15,64,214,Medium
Tsunami,Lahore,Low,807,2,22,224,Low
Landslide,Sukkur,High,17750,35,206,200,High
Fire,Rawalpindi,Medium,3220,10,53,226,Medium
Cyclone,Gujranwala,High,1888,7,53,202,High
Tsunami,Multan,Low,2249,8,71,243,Low
Earthquake,Lahore,Medium,6279,13,101,234,Medium
Earthquake,Hyderabad,High,19956,44,237,180,High
Drought,Sukkur,Low,373,2,33,226,Low
Earthquake,Faisalabad,Medium,1292,5,57,215,Medium
Tsunami,Sukkur,Critical,12728,28,169,158,Critical
Tsunami,Hyderabad,Low,4863,13,71,215,Low
Landslide,Sialkot,Low,4628,12,91,235,Low
Flood,Islamabad,Critical,14620,29,174,161,Critical
Heatwave,Faisalabad,Critical,31816,63,325,144,Critical
Earthquake,Hyderabad,High,7044,16,76,215,High
Drought,Faisalabad,Low,2777,8,75,221,Low
Earthquake,Karachi,Critical,20268,41,244,170,Critical
Landslide,Islamabad,Medium,351,3,17,220,Medium
Tsunami,Multan,Low,1785,4,17,232,Low
Cyclone,Sialkot,High,6426,17,85,193,High
Earthquake,Gujranwala,Critical,8088,20,102,176,Critical
Flood,Islamabad,Low,3973,8,79,227,Low
Cyclone,Islamabad,Low,2037,9,38,221,Low
Landslide,Islamabad,Critical,13800,31,173,152,Critical
Earthquake,Islamabad,Critical,26392,52,296,171,Critical
Cyclone,Sukkur,Critical,16084,35,183,152,Critical
Earthquake,Karachi,Low,4572,14,89,225,Low
Drought,Faisalabad,Critical,21476,44,220,155,Critical
Landslide,Quetta,Critical,18948,40,191,156,Critical
Heatwave,Quetta,Low,3168,10,41,223,Low
Tsunami,Sukkur,Low,3869,10,69,224,Low
Fire,Rawalpindi,High,17686,37,184,192,High
Tsunami,Quetta,Medium,5986,15,104,215,Medium
Tsunami,Gujranwala,Low,2576,9,72,249,Low
Cyclone,Islamabad,Medium,4385,10,89,222,Medium
Landslide,Lahore,High,11984,26,145,189,High
Earthquake,Islamabad,High,17002,36,176,186,High
Fire,Peshawar,Critical,32988,66,345,147,Critical
Cyclone,Karachi,High,15470,30,193,185,High
Fire,Sialkot,Critical,6860,15,80,171,Critical
Heatwave,Quetta,Critical,31168,66,323,179,Critical
Drought,Karachi,Low,2673,6,33,210,Low
Landslide,Rawalpindi,Low,1714,3,42,244,Low
Cyclone,Rawalpindi,Medium,6173,14,74,202,Medium
Tsunami,Rawalpindi,Critical,20904,41,238,170,Critical
Flood,Hyderabad,Critical,27524,58,325,163,Critical
Cyclone,Karachi,Medium,849,5,20,239,Medium
Flood,Sialkot,Critical,37264,76,417,160,Critical
Tsunami,Rawalpindi,High,7450,18,95,211,High
